 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,28198,XATA,000,01,SK,0.0,Art Term Abroad ,XNA,,TBA,25,25,TBA,06-Jan07-Apr,TBA,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28199,XATA,000,02,SK,0.0,Art Term Abroad ,XNA,,TBA,25,25,TBA,06-Jan07-Apr,TBA,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28200,XATA,000,03,SK,0.0,Art Term Abroad ,XNA,,TBA,25,25,TBA,06-Jan07-Apr,TBA,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28201,XATA,000,04,SK,0.0,Art Term Abroad ,XNA,,TBA,25,25,TBA,06-Jan07-Apr,TBA,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,28202,XATA,000,05,SK,0.0,Art Term Abroad ,XNA,,TBA,25,25,TBA,06-Jan07-Apr,TBA,No Academic CreditOff Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,27370,XCHG,000,0,OFF,15.0,On Acad. Exch. TC DublinU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun07-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,27386,XCHG,000,0,OFF,15.0,On Acad. Exch. DarmstadtU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun07-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,27550,XCHG,000,001,OFF,15.0,Acad Exch. Queen's BelfastU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun07-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28114,XCHG,000,02,OFF,15.0,Acad Exch Univ Tsukuba JapanU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun07-Apr,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,28619,XCHG,000,08,OFF,15.0,On Academic Exchange at Curtin University of Technology in AustraliaU of S Int'l Approval Required,XNA,,TBA,10,9,TBA,17-Feb19-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
