 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,41224,XCHG,000,30,OFF,15.0,Acad Exch Yokohama NationalU of S Int'l Approval Required,XNA,,TBA,10,10,TBA,01-Jun21-Jun,TBA,No Academic CreditOff Campus Student FeesTuition - Outbound ExchangeAcademic Exchange Program
 ,41496,AREC,898,1,SK,3.0,Shelterbelt Economics ,RDG,,TBA,5,4,Suren N  Kulshreshtha (P), Kenneth W  Belcher ,08-May21-Jun,TBA,On Campus Student FeesFee - Graduate Studies
 ,41360,AREC,994,01,SK,7.5,Research ,SSI,,TBA,40,22,Richard S  Gray (P),08-May21-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41361,AREC,996,01,SK,7.5,Research ,SSI,,TBA,10,3,Richard S  Gray (P),08-May21-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40508,AGRC,112,W01,OFF,1.5,Animal Agriculture and Food Science ,WEB,,TBA,60,44,Dianne C  Winkelman-Sim (P),08-May21-Jun,TBA,Distance Education Unit1st Half of a Multi-term ClassOff Campus Student FeesTuition - Category 13Class Is Offered On-Line Only
 ,41519,AGRC,311,01,SK,3.0,International Study TourInstructors Signature Required,FLD,,TBA,22,18,Karen K  Tanino (P), Kate A  Congreves ,08-May30-Jun,TBA,Off Campus Student FeesTuition - Category 13
 ,41504,AGRC,445*,01,SK,3.0,Experiential Learning in the WorkplaceInstructors Signature Required,FLD,,TBA,40,16,Grant D  Wood (P),08-May05-Dec,TBA,Clinical placement / practicumOff Campus Student FeesTuition - Category 13
 ,41002,ACB,994,01,SK,7.5,Research ,SSI,,TBA,45,35,David J  Schreyer (P),08-May21-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40194,ACB,996,01,SK,7.5,Research ,SSI,,TBA,45,36,David J  Schreyer (P),08-May21-Jun,NA NO_ROOM,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40134,ANSC,994,01,SK,7.5,Research ,SSI,,TBA,60,19,Fiona C  Buchanan (P),08-May21-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,40193,ANSC,996,01,SK,7.5,Research ,SSI,,TBA,30,8,Fiona C  Buchanan (P),08-May21-Jun,TBA,1st Half of a Multi-term ClassNo Academic CreditOn Campus Student FeesFee - Graduate Studies
 ,41332,ANTH,111,03,SK,3.0,One World Many Peoples Introduction to Cultural Anthropology ,LEC,TR,13:30-14:50,25,24,Denise P  Huynh (P),06-May18-Jul,AGRI 2E83,On Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,40108,ANTH,111,X01,OFF,1.5,One World Many Peoples Introduction to Cultural Anthropology ,IND,,TBA,30,12,Elaine   Hulse (P),08-May21-Jun,NA NO_ROOM,Distance Education UnitMaterials Fees Assessed1st Half of a Multi-term ClassOff Campus Student FeesSocial Sciences Program TypeTuition - Category 1
